SKU,Description,Qty,Trade,RRP
K1250WE,"Yam FJ11/FJ12 85-93, XJR12 95-99 10.25:1",0.0,705.42,969.95
K1259,SUZUKI GS-1100E.78mm.10:1,1,810.56,1069.95
K131,YAM RD350/400 KT(65MM-2559CD-393M),3,405.37,535.08
K1325,KAWASAKI.Z900/1000.W/SLVS,1,753.51,1167.94
K147,YAM 350 BANSHEE  PRO-LITE/513M06650,2,298.68,459.95
K1601,HD 1000 SPORTSTER    (3198X-4011P1),1,360.08,495.11
K1602,HD 1000 SPORTSTER    (3208X-4011P2),2,360.08,495.11
K1603,HD 1000 SPORTSTER    (3218X-4011P3),14,309.05,424.95
K1604,HD 1000 SPORTSTER    (3228X-4011P4),0.0,309.05,424.95
K1605,HD PAN/SHOVELHD (3437X-4012PS),2,396.29,523.1
K1606,HD PAN/SHOVELHD (3447X-4012P1),2,309.05,424.95
K1607,HD PAN/SHOVELHD (3457X-4012P2),0.0,360.08,495.11
K1608,HD PAN/SHOVELHD (3467X-4012P3),0.0,360.08,495.11
K1609,HD PAN/SHOVELHD (3477X-4012P4),0.0,396.29,523.1
K1610,HD PAN/SHOVELHD (3487X-4012P5),0.0,309.05,424.95
K1611,HD PAN/SHOVELHD (3497X-4012P6),0.0,309.05,424.95
K1612,HD PAN/SHOVELHD (3517X-4012P8),1,309.05,424.95
K1617,"HD SHOVELHEAD 80"" 7:1 (3537X-4729P4)",0.0,341.79,469.95
K1621,HARLEY DAVIDSON EVO 1340 80ci 1985-1999,4,308.41,474.95
K1622,HARLEY DAVIDSON.EVOL.80ci,3,308.41,474.95
K1623,HD 1340 SHVLHD 9.5:1 (3497X-4730PS),2,341.79,469.95
K1624,HD 1340 SHVLHD 9.5:1 (3507X-4730P1),2,341.79,469.95
K1625,HD 1340 SHVLHD 9.5:1 (3517X-4730P2),3,341.79,469.95
K1626,HD 1340 SHVLHD 9.5:1 (3527X-4730P3),1,341.79,469.95
K1627,HD 1340 SHVLHD 9.5:1 (3537X-4730P4),0.0,443.85,634.7
K1633,HARLEY DAVIDSON.1200 EVO.,2,305.4,419.95
K1635,HARLEY 1200 KIT F.T.,1,305.4,419.95
K1639,HARLEY 1340 KIT,0.0,308.41,474.95
K1640,HARLEY 1340 KIT 8.5:1(3497X-4722PS),1,341.79,469.95
K1641,HARLEY 1340 KIT 8.5:1(3507X-4722P1),0.0,469.95,669.95
K1642,HARLEY 1340 KIT 8.5:1(3517X-4722P2),0.0,443.85,634.7
K1643,HARLEY 1340 KIT 8.5:1(3527X-4722P3),1,443.85,634.7
K1644,HARLEY 1340 KIT 8.5:1(3537X-4722P4),2,443.85,634.7
K1653,Harley Davidson Evo Big Twin With,1,297.32,439.95
K1655,HD Evo 883 Overbore 1200 9.5:1 CR 86-10,1,473.05,676.39
K1656,HD Evo 883 Overbore 1200 9.5:1 CR 86-10,1,473.05,676.39
K1658,HD Evo 883 Overbore 1200 9.5:1 CR 86-10,0.0,473.05,676.39
K1659,HD Evo 883 Overbore 1200 9.5:1 CR 86-10,2,473.05,676.39
K1660,HD 1200 THRU 2003 KIT (3497X-4720PS,1,473.05,676.39
K1661,HD 1200 THRU 2003 KIT (3507X-4720P1,2,473.05,676.39
K1662,HD 1200 THRU 2003 KIT (3517X-4720P2,3,473.05,676.39
K1665,"HARLEY 1340 KIT (3497X-4724,4725PS",4,473.05,676.39
K1666,"HARLEY 1340 KIT (3507X-4724,4725P1",0.0,473.05,676.39
K1667,"HARLEY 1340 KIT (3517X-4724,4725P2",0.0,473.05,676.39
K1668,HARLEY 1340 KIT (3527X-4724/4725P3,1,473.05,676.39
K1669,"HARLEY 1340 KIT (3537X-4724,4725P4",1,473.05,676.39
K1670,EVOL. 1340 3-5/8 KIT,2,463.32,721.39
K1671,EVOL. 1340 3-5/8 KIT .005,2,463.32,721.39
K1672,EVOL. 1340 3-5/8 KIT .010,1,463.32,721.39
K1673,EVOL 3-5/8'' KIT,0.0,463.32,721.39
K1674,N/A 9/05 * HD 1340 EVO BB (3655X-4594P3),2,365.3,556.39
K1675,"HARLEY 1340 KIT(3504X-4724,4725P05",5,512.07,675.93
K1676,HD 1340 BB KIT  (3625X-4631;4632PS),1,463.32,721.39
K1677,HD 1340 BB KIT (3630X-4631;4632P05),1,463.32,721.39
K1679,HD 1340 BB KIT  (3645X-4631;4632P2),1,463.32,721.39
K1682,HD 883 EVO BB TO 1200 (3497X-4719PS,2,473.05,676.39
K1684,HD 883 EVO BB TO 1214 (3517X-4719P2,3,473.05,676.39
K1685,HD 1200 EVO KIT 10.5:1(3497X-4721PS,1,473.05,676.39
K1686,HD 1200 EVO KIT 10.5:1(3507X-4721P1,1,574.68,790.54
K1687,HD 1200 EVO KIT 10.5:1(3517X-4721P2,0.0,473.05,676.39
K1688,HD 1200 EVO KIT 10.5:1(3527X-4721P3,1,574.68,790.54
K1690,HD 1340 EVO KIT (3497X-4726/4727PS),3,473.05,676.39
K1691,HD 1340 EVO KIT (3504X-4726/4727P05,4,473.05,676.39
K1692,HD 1340 EVO KIT (3507X-4726/4727P1),0.0,473.05,676.39
K1693,HD 1340 EVO KIT (3517X-4726/4727P2,4,473.05,676.39
K1694,HD 1340 EVO KIT (3527X-4726/4727P3),3,446.47,639.84
K1699,HARLEY EVOL 1340 3.740 FLAT TOP,2,505.52,786.39
K1701,HD/Buell S1/S3/S3T 2vp Domed 10:1 CR,0.0,473.05,676.39
K1702,HD/Buell S1/S3/S3T 2vp Domed 10:1 CR,1,574.68,790.54
K1706,HARLEY 1340 EVO BIG BORE STK 35/8,2,463.32,721.39
K1708,HD 1340 EVO STROKER (3740XH-4680PS),1,463.32,721.39
K1714,HD 1340 EVO 10.5:1(3504X-4778/9P05),1,473.05,676.39
K1716,HD 1340 EVO 10.5:1 (3517X-4778/9P2),0.0,473.05,676.39
K1717,HD TWIN CAM KIT     (4000GF-4687PS),5,450.32,701.39
K1727,N/A 9/05 * HD TC88 .005 BORE (4756P05),2,368.68,561.39
K1729,HD TC88 .020 BORE (3770XP 4756P2),1,489.28,761.39
K1731,HD/BUELL FT 10.5:1   38125XN-4759PS,2,573.72,891.39
K1732,HD/BUELL BB 10.5:1   38125XN-4760PS,3,573.72,891.39
K1734,HD 1200 EVO BIG BORE (3740XH-4660PS,2,505.52,786.39
K1735,BUELL. XB12/ RS. 10.5:1. 2004-12..,2,634.21,811.39
K1738,Buell XB12R/S 2V Domed 12:1 2004-2010,0.0,483.95,691.39
K1744,"HD TC88 .BIG BORE (4.000""  4845PS)",3,489.28,761.39
K1746,HD Sprtst 1200 10.5:1 04-10,0.0,483.95,691.39
K1747,HD Sprtst 1200  10.5:1 04-10,1,483.95,691.39
K1749,HD 1340 EVO BB KIT  (3740XH-4661PS),1,483.95,691.39
K1750,HD 1340 EVO BB KIT   (3625X-4594PS),6,491.23,701.39
K1751,"HD TC96 .BIG BORE (3.875""  4916PS)",1,554.43,876.39
K1757,HD 07-10 TC96 2vp -2.3cc 10.5:1 110cid,2,494.87,706.39
K1759,HD. 1999-17. TC88. 2VP. Domed. 10.5:1,3,499.57,712.85
K1760,HD 1999-06 TC88 2vp Domed 10.5:1 100cid,0.0,494.87,706.39
K1767,HD 1340 1978-84 Shovelhead 8.5:1 CR,0.0,451.24,646.39
K1769,HD 1340 1978-84 Shovelhead 8.5:1 CR,1,553.3,811.14
K2726,HD TC88 2vp Domed Std Bore 3750VM,3,505.78,721.39
K2751,HD 2007-2010 TC96 2vp Dished  9:1 103cid,2,505.78,721.39
K2784,H.D. 107cid. Milwaukee 8. 2017. 11:1.,2,570.7,861.39
K2785,H.D. 114cid. Milwaukee 8. 2017. 11:1.,1,570.7,861.39
K2788,H.D.TC96/103cid. 2vp. Dish. 9:1.2007-14,1,783.08,861.39
K2790,H.D.TC96/103cid. 2vp. F/T. 9.6:1 2007-14,1,570.7,861.39
K2791,H.D.TC96/103cid. 2vp. F/T. 9.6:1 2007-14,2,570.7,861.39
K2792,H.D.TC96/103cid. 2vp. Dome.  2007-14,0.0,570.7,861.39
K2793,H.D.TC96/103cid. 2vp. Dome.  2007-14,0.0,570.7,861.39
K2797,HD TC96  F/Top .10:1  2007-14,1,570.7,861.39
K2798,HD TC96  10:1 2007-14. 117cid.,3,570.7,861.39
K2805,HD Milwaukee 8. 11.3:1  118cid  .,1,706.75,964.87
K615,KAW KZ/ZX/GPZ 550 KIT  58mm-2402XA.,1,832.97,1131.48
K652,YAMAHA FJ600L. 61mm.10:1.,2,556.96,816.39
K700,KAW KZ650 KIT   64MM-2520XC-4037M,2,898.51,1261.39
K749,SUZUKI. GSX-R750.1996-99  12:1.2835XA,0.0,960.33,1346.39
K810,"KAW KZ,ZN,GPZ 750  KIT  4186M06900",0.0,1039.95,1484.95
K816,SUZ 750 4V KIT  70MM-2756XC-4188M,3,894.86,1256.39
K823,HON 750 4V KIT (65MM-2559XC-4183M),2,1067.41,1440.95
K836,Honda CB750K 2v SOHC '69-78 10.25:1 CR,3,1067.41,1440.95
K844,Suzuki 1977 - 1979 GS750 10.25:1 CR,2,1067.41,1440.95
K972,"KAW ,GPZ 900  KIT  4415M07500",0.0,865.77,1216.39
K985,Honda Kit CB750/900F 10.25:1,1,898.51,1261.39
R1041,Yam 89-96 FZR1000;97-98 YZF1000 12:1 CR,1,829.05,1139.95
R1049,"Honda CBR1000F 1987-91,93-96 12:1 CR",2,727.23,999.95
R1052,"KAW ZX11,C1,D1,GPZ11 95-96, (4578M)",1,829.05,1139.95
R1070,Yam 89-96 FZR1000;97-98 YZF1000 12:1 CR,0.0,1120.23,1478.7
R1075,KAW KZ900/1000. 72-82. 12:1. 4227M07200,1,957.96,1264.51
R1109,Suzuki 1986 - 1988 GSXR1100 12:1 CR,1,829.05,1139.95
R1117,SUZUKI.GSX-R1100 12:1 CR.1993-98. 3032XG,3,782.2,1032.5
R1198,SUZUKI. GSXR11 (79.75MM-3140XG-4611M),1,612.89,949.95
R619,Yamaha 1989 - 1999 FZR600 Stock CR,3,829.05,1139.95
R637,HON CBR600F2 91-98(2638XA-4513M),2,829.05,1139.95
R766,"KAW ZX750R.K1,L1,M2. 1991-95. 12:1.",0.0,850.88,1169.95
R771,SUZ. GSX-R750. 1986-87. 13:1.CR. 2795XC,1,713.49,941.81
R787,Suzuki 1990 - 1991 GSXR750 11:1 CR,0.0,727.23,999.95
R923,KAW ZX9R  (76MM-4652M-2992XG),0.0,717.13,1064.95
R951,KAW ZX9R KIT   (75M-4591M-2953XG),0.0,872.69,1199.95
R970,Honda CBR900 '96-99 12:1 CR,0.0,1249.95,1624.95
VT1745,HD TC 99-05 110 CI Sleeper 4.000 Bore,1,390.54,579.95
VT1751,HD T/C.2007-08.TC-96.9:1. 103cid.,1,441.52,679.95
VT1756,HD T/C.2007-08.TC-96.10.5:1. 103cid,1,441.52,679.95
VT1759,HD T/C.1999-06.TC-88.10.5:1. 107cid,2,552.69,759.95
VT2709,HD Twin Cam 88 Big Bore 10.5:1 CR 3875VM,0.0,589.05,809.95
VT2712,HD Twin Cam 88 Big Bore 10.5:1 CR 3895VM,1,733.5,968.22
VT2713,HD Twin Cam 88 Big Bore 10.5:1 CR 3905VM,1,484.81,719.95
VT2720,HD Twin Cam Big Bore 3880VM,0.0,589.05,809.95
VT2721,HD Twin Cam Big Bore 3885VM,2,589.05,809.95
VT2726,HD TC88 2vp Domed Std Bore 3750VM,2,589.06,809.95
VT2751,HD 2007-2010 TC96 2vp Dished  9:1 103cid,2,589.05,809.95
VT2752,HD 2007-2010 TC96 2vp Dished  9:1 103cid,4,491.55,729.95
VT2754,HD 2007-8 TC96 2vp Domed 10.5:1 103cid,0.0,599.97,824.95
VT2762,HD 07-10 TC96 2vp Flat Top 9.6:1 103cid,0.0,589.05,809.95
VT2763,HD 07-10 TC96 2vp Flat Top 9.6:1 103cid,1,589.05,809.95
VT2764,HD TC88 2vp Domed Big Bore 9.5:1 CR,0.0,589.05,809.95
VT2765,HD TC88 2vp Domed Big Bore 9.5:1 CR,2,548.79,814.95
VT2766,HD TC88 2vp Domed Big Bore 9.5:1 CR,2,751.35,991.78
VT2790,HD TC96/103cid. 2vp. Dish. 9.6:1 2007-14,1,837.5,1105.51
VT2797,HD TC96/106cid. 2vp. F/T.10:1 2007-14,0.0,606.02,899.95
B1047,CRANK PIN BEARING - 22 X 28 X 15.8mm,20+,23.96,32.95
B1048,CRANK PIN BEARING - 22 X 29 X 16.8mm,18,23.96,32.95
B5038,Main Bearing - 39 x 65 x 18mm,15,66.87,91.95
PWR116B-100,GARAGE BUDDY CR125R 2003,3,537.59,804.95
PWR134-100,GARAGE BUDDY YZ250 2003-2020,0.0,636.47,949.95
PWR140-101,GARAGE BUDDY YZ250F 2005-2007,0.0,828.25,1229.95
PWR140-102,GARAGE BUDDY YZ250F 2008-2011,0.0,823.23,1129.95
PWR140-103,GARAGE BUDDY YZ250F 2012-2013,0.0,878.94,1304.95
PWR142-100,GARAGE BUDDY RMZ450 2005-2007,4,947.12,1409.95
PWR144-100,GARAGE BUDDY RMZ250 04-06/KXF250 04-05,20+,862.85,1284.95
PWR144-103,GARAGE BUDDY YZ250F 2012-2013,0.0,878.94,1304.95
PWR151-100,GARAGE BUDDY YZ450F 2006-2009,1,975.6,1449.95
PWR160-100,GARAGE BUDDY CRF450R 2009-2012,1,947.12,1409.95
PWR163-100,GARAGE BUDDY YZ125 2005-2020,0.0,515.04,769.95
PWR168-101,GARAGE BUDDY CRF250R 2014-2015,0.0,846.8,1259.95
PWR172-100,GARAGE BUDDY CR250R 2005-2007,2,679.98,1019.95
PWR177-100,GARAGE BUDDY CR125R 2005-2007,19,537.59,804.95
W5792,CRANK PIN - HOLLOW - 22MM X 51MM,1,20.16,29.95
W5979,THRUST WASHERS(2) 24MM ID X 1.5MM,3,7.23,9.95
WPC115,Crankshaft Assembly - CR80/85. 86-04,0.0,261.78,359.95
WPC122,Crankshaft Assembly - YZ80 '93-01,0.0,279.97,384.95
WPC162,Crankshaft Assembly - KTM.  85SX. 04-12.,1,261.78,359.95
WPR122,Rod Kit - Honda CR125 '85-87,0.0,87.51,129.95
WPR130,"*NS-Rod Kit - Kaw. KX125 '81-87, '92-93",0.0,87.51,129.95
WPR136,Rod Kit - Suzuki RM80 '91-01,0.0,70.66,104.95
WPR190,KAWASAKI. KX-125. 2003-05. Conrod Kit,2,83.84,129.95
WPR192,Rod Kit - '03-07 Suzuki RM250,0.0,87.51,129.95
WPR195,Rod Kit- '04-10 Suzuki RM125,1,97.61,144.95
WPR3405-NB,SUZUKI. RMZ-450. Con Rod Kit,3,141.62,194.73
X2PIVM42004,EXCEL  YAM YZ250F 2019-22 Ti Inlet Valve,1,161.2,214.95
B17-198,WRIST PIN BUTTONS,2,68.18,97.01
B17-218,WRIST PIN BUTTONS,2,68.18,97.01
B17-355,WRIST PIN BUTTONS,3,68.18,97.01
B17-394,WRIST PIN BUTTONS,1,68.18,97.01
B17-414,WRIST PIN BUTTONS,1,68.18,97.01
CS13,FLAT WIRE SPIRAL PIN LOCKS 13MM(PR),20+,6.9,10.2
CS17,CIRCLIP. SPIRAL LOX.17mm.,11,6.9,10.2
CS19,CIRCLIP. SPIRAL LOX.19mm.,20+,6.9,10.2
CS20,FLAT WIRE SPIRAL PIN LOCKS 20MM(PR),20+,6.9,10.2
CS22,FLAT WIRE SPIRAL PIN LOCKS 22MM(PR),20+,6.9,10.2
CS24,FLAT WIRE SPIRAL PIN LOCKS (PR),20,9.95,12.95
CS25,FLAT WIRE SPIRAL PIN LOCKS (4/PK),8,9.95,12.95
CW10,WISECO - CIRCLIP 10MM (PAIR),20+,3.2,4.95
CW12,WISECO - CIRCLIP 12MM (PAIR),20+,3.2,4.95
CW13,WISECO - CIRCLIP 13MM (PAIR),20+,3.2,4.95
CW14,WISECO - CIRCLIP 14MM (PAIR),20+,3.2,4.95
CW15,WISECO - CIRCLIP 15MM (PAIR),8,3.2,4.95
CW16,WISECO - CIRCLIP 16MM (PAIR),8,3.2,4.95
CW17,WISECO - CIRCLIP 17MM (PAIR),19,3.2,4.95
CW18,WISECO - CIRCLIP 18MM (PAIR),20+,3.2,4.95
CW19,WISECO - CIRCLIP 19MM (PAIR),11,3.2,4.95
CW20,WISECO - CIRCLIP 20MM (PAIR),20+,3.2,4.95
CW21,WISECO - CIRCLIP 21MM (PAIR),19,3.2,4.95
CW22,WISECO - CIRCLIP 22MM (PAIR),20+,3.2,4.95
CW23,WISECO - CIRCLIP 23MM (PAIR),20+,3.2,4.95
CW24,WISECO - CIRCLIP 24MM (PAIR),20+,3.2,4.95
CW28,WISECO - CIRCLIP 28MM (PAIR),20+,6.45,9.95
W4958,ROUND WIRE PIN LOCKS 20MM (PR),20+,2.87,3.95
W5074,FLAT WIRE SPIRAL PIN LOCKS (PR),20+,4.86,6.95
W5263,ROUND WIRE PIN LOCKS 19.045MM. PAIR,20+,2.87,3.95
W5314,FLAT WIRE SPIRAL PIN LOCKS (4/PKG),20+,4.86,6.95
W5333,ROUND WIRE PIN LOCKS (PAIR),12,2.87,3.95
W5413,ROUND WIRE PIN LOCKS .563  PAIR,20,2.87,3.95
W5487,ROUND WIRE PIN LOCKS (PAIR),20+,2.87,3.95
W5509,ROUND WIRE PIN LOCKS 20MM (PR),20+,2.87,3.95
W5590,ROUND WIRE PIN LOCKS (PAIR),0.0,4.86,6.95
W5594,ROUND WIRE PIN LOCKS (PAIR),20+,4.86,6.95
W5595,ROUND WIRE PIN LOCKS (PAIR),18,4.86,6.95
W5731,ROUND WIRE PIN LOCKS-HARLEY20MM (PR,10,3.5,5.01
W5752,ROUND WIRE PIN LOCKS-HARLEY #4678 (pr),7,3.5,5.01
W5845,SNAP RING PIN LOCKS-CANNONDALE (PR),11,2.32,3.95
W5860,23MM ROUND WIRE PIN LOCKS (PAIR),0.0,2.87,3.95
W5922,SNAP RING PIN RETAINER - PAIR (CB),16,2.32,3.95
W5939,SNAP RING PIN RETAINER - PAIR (CB),11,2.87,3.95
W6198,WIRE RETAINER- 23MM SUBARU OEM (PR),20+,4.86,6.95
W6883,Round Wire Retainer 16mm x .049 (pair),18,2.87,3.95
CK109,YAMAHA R6 12:92:1.1mm OVERSIZE,1,610.36,939.95
CK110,KAW ZX7R KIT (73MM-2874XA-4702M),0.0,717.13,1064.95
CK115,SUZ GSXR600 KIT(25787XA 4705M06550),0.0,693.57,1029.95
CK116,SUZ GSXR600KIT (2658XA-4706M),1,693.57,1029.95
CK118,Hon RC51 2000-06 4v Domed 12.7:1 3937XS,0.0,424.21,629.95
CK119,YAMAHA R1   '99-03,3,681.78,1049.95
CK126,HON CBR6F4 99-01(68MM-2677XA-4698M),0.0,519.33,804.95
CK129,KAW ZX9R KIT (78MM-3071XG-4757M),0.0,717.13,1064.95
CK132,KAWASAKI.  ZX12R.  00-05 13.5:1 3268XG,0.0,890.88,1224.95
CK133,KAW ZX12R 00-05 13.5:1   8550XX,2,717.13,1064.95
CK135,SUZ GSXR1000 13.5:1    4772M 2953XG,1,717.13,1064.95
CK142,SUZ GSXR750 KIT (76MM-2992XG-4789M),0.0,717.13,1064.95
CK143,SUZUKI GSXR1100  1245cc  82mm,0.0,629.01,974.95
CK146,Honda VTX1800 02-6 10.5:1 4800M 10100XS,0.0,494.92,734.95
CK172,Triumph Bonniville 1/4Stroker 10.5:1 CR,1,757.54,1124.95
CK179,YAMAHA.  Road Star. 1999-03. 10.5:1.,1,305.12,479.95
P1428,KAW KZ;GPZ PRO-STOCK;GAS PORT/ 2VP,1,723.99,1114.95
R1066,SUZUKI GSXR-1100. 87.12:1,2,555.99,794.95
R1186,SUZUKI. GSXR1100. 1986-88. 78.00mm,2,993.23,1474.95
R631,SUZUKI GSX-600. '88.13:1.,1,468.55,669.95
R639,KAWASAKI. ZX-6.639cc. '90.,1,465.46,639.95
R745,HONDA VF-750. 70mm.,1,589.08,809.95
R751,YAMAHA FZ-750 5/V.68m12.1,1,472.08,674.95
R755,SUZUKI. GSXR-750J. '88.,2,514.03,734.95
SK1141,A.C. 580Z 93-97 75.4 / PRO-LITE),1,330.84,454.91
SK1207,SKI DOO ROTAX 72mm 2373PS,5,278.04,382.31
SK1249,SKI DOO  MACH Z. LT. 2776CD.,1,515.13,708.3
SK1290,YAMAHA.  PHAZER  500.  1999.  73mm,2,351.91,483.87
SK1321,POLARIS. Liberty. 600.,1,369.95,508.68
WK1003,KAW JS440 KIT (2084M06900-2717CD),0.0,298.36,410.24
WK1014,KAW JS550 KIT(76.5MM/PRO-LITE/516M),5,313.76,431.42
WK1018,KAW X2 650 KIT (77M/PRO-LITE/549M),1,298.38,410.27
WK1019,KAW X2 650 KIT(77.5M/PRO-LITE/549M,0.0,319.44,439.24
WK1020,KAW X2 650 KIT(78MM/PRO-LITE/549M),2,319.44,439.24
WK1024,WET JET.  442cc.68.5mm.,3,186.9,267.2
WK1041,Yamaha WaveRunner SuperJet 1990-96,2,324.03,445.54
WK1042,Yamaha WaveRunner SuperJet 1990-96,1,324.03,445.54
WK1043,Yamaha WaveRunner SuperJet 1990-96,1,345.1,474.51
WK1044,YAM 650 KIT    (79M/PRO-LITE/602M),3,285.5,439.67
WK1047,KAW JS550 KIT   (76M/PRO-LITE/608M),2,301.24,414.2
WK1049,KAW JS550 KIT   (77M/PRO-LITE/608M,1,290.36,447.15
WK1057,KAWASAKI. JS-550. 92. REED HOLES,3,228.01,324.44
WK1061,KAW 750 KIT   (81MM/PRO-LITE/813M),2,338.07,464.85
WK1063,KAW 750 KIT  (82MM/PRO-LITE/813M),1,359.14,493.82
WK1064,PLRS SL650 (65MM/PRO-LITE/624M),3,478.59,658.07
WK1066,PLRS SL650 KIT(66M/PRO-LITE/624M),1,478.59,658.07
WK1067,PLRS SL650 KIT(67.5M/PRO-LITE/624M,1,425.84,632.37
WK1068,PLRS SL650 KIT(67MM/PRO-LITE/624M),2,460.7,709.49
WK1075,PLRS SL750 KIT (69.75-2746CD-633M),1,478.59,658.07
WK1076,PLRS SL750 KIT(70.25M-2766CD-633M),2,478.59,658.07
WK1078,PLRS 750/780 KIT (71.25M-2805CD-633,1,510.19,701.51
WK1087,PLRS SL750 KIT (72.00M-2835CD-633M),1,510.19,701.51
WK1093,ARCTIC TGR SHRK(2349M07650-3012TDW,1,469.98,646.22
WK1100,KAW 900 ZXI  (73MM/PRO-LITE/659M),1,549.86,756.06
WK1106,SEA-DOO 720cc 82.5mm,3,290.8,442.53
WK1107,SEA-DOO 720cc 83mm  .040,1,290.8,442.53
WK1117,SEADOO(BOMB)650(78.5-3091LK-663M),3,344.42,473.57
WK1119,SEADOO(BOMB)650(80MM-3150LK-663M),1,365.48,502.54
WK1137,PLRS 700 TWIN KIT(81MM-3189TD-700M),3,326.68,449.18
WK1138,PLRS 700 TWIN KT(81.5M-3209TD-700M,1,326.68,449.18
WK1140,PLRS 700 TWIN K(82.5MM-3248TD-700M),1,347.74,478.14
WK1142,PLRS SL900 96-97 74.5M-2933TD-687M,1,514.33,707.21
WK1144,PLRS SL900 96-97 75.5M-2973TD-687M,2,514.33,707.21
WK1145,PLRS SL900 96-97 (76MM-2992TD-687M),2,436.35,647.98
WK1146,POLARIS SL900 96-97 76.5m,3,442.73,681.81
WK1160,REPLACEMENT PARTNO WK1173,1,234.47,320.34
WK1167,POLARIS 780 KIT (71.5M-2815CD-633M),2,544.13,748.17
WK1175,KAWASAKI.  1100ZXi '96-97  .160'',1,339.31,482.85
WK1179,YAMAHA 701cc 040'' E-COATED,1,268.12,381.5
WK1180,YAMAHA 701cc 060'' E-COATED,3,268.12,381.5
WK1187,YAMAHA 760cc 080'' E-COATED,2,287.75,409.45
WK1192,YAMAHA GP1100 83mm  709P8,1,358.78,490.01
WK1210,YAMAHA GP1200 080'' E-COATED,3,358.78,490.01
WK1214,SD(BOMB)GSX LTD(89.4-3520KD-716M),0.0,472.22,701.25
WK1215,SD(BOMB)GSX LTD(90MM-3544KD-716M),0.0,472.22,701.25
WK1221,SEA DOO. 780cc.,5,228.01,324.44
WK1223,PLRS SLX XPS 785(69.7-2746CD-722M),1,511.06,702.7
WK1241,KAW JS750 KIT      80MM/3150KD/809M,1,338.07,464.85
WK1247,KAW 1100ZXI     80.5-3169KD-809M,0.0,495.19,680.88
WK1248,KAW 1100ZXI         81MM-3189KD-809M,1,495.19,680.88
WK1249,KAW 1100ZXI          81.5-3207KD-809M,3,526.78,724.33
WK1250,KAW 1100ZXI         82MM-3228KD-809M,0.0,509.49,700.54
WK1251,SEADOO 580CC KIT(76MM/2992TD/734M),1,388.96,534.81
WK1252,SEADOO 580CC (76.5/3012TD/734M),1,388.96,534.81
WK1253,SEA DOO 580CC (77MM/3032TD/734M),1,388.96,534.81
WK1254,SEADOO 580CC KIT(77.5/3051TD/734M),1,410.02,563.78
WK1263,KAWJS750 KIT (84.5/3327TD/809M),3,322.09,442.87
WK1268,KAW ULTRA 150   (80.50-3169TD-749M),2,600.44,825.6
WK1269,KAW ULTRA 150  (81MM-3189TD-749M)),2,524.45,778.82
WK1293,YAM 760 KIT     (757M08550-3367KD),2,349.19,480.14
WK1294,YAM 760 KIT      (757M08600-3385KD),1,349.19,480.14
WK1295,SEA DOO 750 (775M08200-8200LF),3,394.97,543.08
WK1296,SEA DOO 750  775M08250-8250LF,3,394.97,543.08
WK1298,SEA DOO 750 (775M08350-8350LF),1,458.16,629.97
WK1299,SEA DOO 750 (775M08400-8400LF),1,458.16,629.97
WK1300,SEADOO 785 RAVE (779M08200-8200LF),3,399.25,548.97
WK1303,SEADOO 785 RAVE 779M08300 8300LF,2,399.25,548.97
WK1304,SEADOO 785 RAVE (779M08350-8350LF),5,462.44,635.86
WK1306,"Yamaha GP 800,   758M08000-3150KD",1,399.09,548.75
WK1307,"PLRS SL,SLTX1050(781M08100-8100LF)",1,653.35,898.36
WK1308,"PLRS SL,SLTX1050(781M08150-8150LF)",2,653.35,898.36
WK1315,YAM GP1200 97-99 (757M08550-3367KD),1,541.67,744.79
WK1316,YAM GP1200 97-99 (757M08600-3385KD),2,541.67,744.79
WK1318,"Yamaha 700 Wave Runner,Raider,Pro VXR",1,324.22,445.8
WK1320,"Yamaha 700 Wave Runner,Raider,Pro VXR",0.0,345.28,474.76
WK1329,YAMAHA 1100 KIT 3189KD 791M08100,1,538.02,739.77
WK1330,YAMAHA 1100 KIT  (3207KD-791M08150),1,554.23,823.04
WK1331,YAMAHA 1100 KIT  3228KD-791M08200,1,538.02,739.77
WK1332,YAMAHA 1100 KIT  (3248KD-791M08250),0.0,601.21,826.66
WK1333,YAMAHA 1100 KIT  (3268KD-791M08300),1,507.82,754.11
5504A3,Wiseco Pro Tru Street Pistons,0.0,89.6,123.2
5505A3,"CHEVY Pro Tru. F/T. 1.260"".  -7cc.",0.0,163.13,206.36
6506M815,TOYOTA 4AG 4V DOMED +5.9cc (3208XC),0.0,224.58,308.8
ASC-07126,FORD. 6 cyl. Barra. 93.00mm. + 8 cc dome,1,2059.45,2829.95
ASC-07126-1,FORD. 6 cyl. Barra. 93.00mm. + 8 cc dome,2,320.75,405.75
K474M965,Wiseco Professional Series Pistons,1,1361.67,1797.4
WD-03797,TOYOTA. 4E FTE. 74.50mm. -2.5cc Dome.,0.0,1483.99,2040.49
WIS-13662,TOYOTA. K5  Custom Kit,0.0,1562.79,2062.88
WIS-13662-1,TOYOTA K5 Custom.(SINGLE PISTON ONLY),1,390.7,515.72
WIS-14457,"TOYOTA 7AFE -12cc 1.211"" X 3.228""",0.0,1569.95,2249.95
2198KD,2.198 SEMI KEYSTONE RING SET,5,32.49,44.67
2208KD,2.208 SEMI KEYSTONE RING SET,5,32.49,44.67
2218KD,2.218 SEMI KEYSTONE RING SET,5,32.49,44.67
2228KD,2.228 SEMI KEYSTONE RING SET,3,32.49,44.67
